employee_id,age,department,job_level,education,location,tenure_years,salary,performance_rating,satisfaction_score,engagement_score,attrition,attrition_reason,training_hours,promotions,hire_date
EMP00001,39,Sales,Junior,PhD,Austin TX,7,52314,Needs Improvement,1.4,4.0,1,Better Opportunity,11,1,2024-10-30
EMP00002,23,HR,Manager,High School,San Francisco CA,6,143462,Exceeds Expectations,3.2,1.9,0,,54,2,2020-12-27
EMP00003,35,Finance,Mid,High School,Boston MA,10,68349,Exceeds Expectations,1.4,4.4,1,Career Growth,68,0,2016-01-29
EMP00004,57,Product,Junior,High School,Austin TX,9,72177,Meets Expectations,4.5,2.4,0,,29,2,2022-12-28
EMP00005,36,Sales,VP,Master,San Francisco CA,3,202455,Exceeds Expectations,3.5,2.5,0,,34,5,2013-08-02
EMP00006,32,Sales,Manager,Master,Austin TX,7,125354,Meets Expectations,2.1,4.7,0,,29,0,2017-06-06
EMP00007,39,Operations,Lead,PhD,Seattle WA,2,111913,Meets Expectations,3.3,3.9,0,,58,1,2018-07-27
EMP00008,37,Finance,Mid,Bachelor,Chicago IL,8,89478,Meets Expectations,4.6,2.6,0,,63,0,2017-05-21
EMP00009,29,Engineering,VP,PhD,Chicago IL,4,210560,Outstanding,3.7,3.4,0,,59,4,2018-02-10
EMP00010,22,Finance,Manager,High School,New York NY,3,142338,Exceeds Expectations,4.0,4.1,0,,55,1,2019-03-21
EMP00011,38,Customer Success,Junior,Bachelor,New York NY,5,61635,Meets Expectations,4.5,2.2,0,,20,4,2024-05-30
EMP00012,42,Engineering,Manager,Bachelor,Austin TX,15,120638,Exceeds Expectations,2.5,4.9,1,Compensation,72,0,2015-07-27
EMP00013,53,Sales,Director,Master,Chicago IL,2,174923,Meets Expectations,1.5,3.6,0,,77,3,2013-01-10
EMP00014,34,HR,Manager,High School,San Francisco CA,9,133074,Outstanding,3.6,2.8,0,,28,0,2016-09-04
EMP00015,57,Operations,Junior,High School,Austin TX,7,64282,Meets Expectations,1.3,3.5,1,Work-Life Balance,9,4,2014-11-28
EMP00016,53,HR,Senior,Bachelor,Seattle WA,6,102669,Outstanding,4.7,3.3,1,Career Growth,24,0,2011-11-10
EMP00017,49,Sales,Director,High School,Seattle WA,11,163879,Needs Improvement,4.5,1.2,0,,43,0,2011-06-10
EMP00018,34,HR,Mid,PhD,Chicago IL,14,69593,Needs Improvement,2.1,2.0,0,,12,0,2017-06-29
EMP00019,37,Engineering,Junior,Bachelor,Seattle WA,5,58317,Needs Improvement,1.9,2.6,0,,0,3,2022-12-13
EMP00020,51,Finance,VP,Bachelor,San Francisco CA,9,203861,Outstanding,3.9,4.1,0,,37,1,2013-07-12
EMP00021,56,Engineering,Manager,High School,Chicago IL,1,144509,Meets Expectations,1.2,2.9,0,,10,1,2021-12-11
EMP00022,26,Sales,Manager,High School,Seattle WA,7,133230,Needs Improvement,4.6,2.0,1,Personal,74,4,2014-01-02
EMP00023,35,Operations,Senior,Master,Austin TX,10,92821,Outstanding,1.5,3.6,0,,1,3,2012-07-16
EMP00024,56,Sales,Junior,Master,New York NY,6,61576,Meets Expectations,4.7,4.5,1,Compensation,56,4,2020-06-09
EMP00025,55,Finance,Manager,Master,Austin TX,0,141884,Meets Expectations,2.2,3.7,0,,13,5,2014-06-15
EMP00026,40,Marketing,Senior,Master,Austin TX,6,108514,Outstanding,3.7,4.4,0,,11,5,2020-07-29
EMP00027,39,Product,VP,PhD,Chicago IL,1,190116,Meets Expectations,1.5,4.9,0,,54,4,2020-04-24
EMP00028,26,Engineering,Junior,Bachelor,Austin TX,4,62877,Outstanding,2.5,3.2,1,Work-Life Balance,46,0,2023-01-31
EMP00029,37,Operations,Mid,Bachelor,San Francisco CA,3,76589,Meets Expectations,4.5,2.6,0,,22,3,2016-09-20
EMP00030,43,Engineering,Mid,High School,Seattle WA,13,91287,Meets Expectations,3.9,2.0,0,,4,3,2014-02-11
EMP00031,51,HR,Mid,PhD,New York NY,11,75000,Meets Expectations,4.5,1.9,0,,35,0,2019-12-12
EMP00032,54,Finance,Senior,Master,San Francisco CA,12,107266,Needs Improvement,3.1,4.8,0,,74,2,2020-04-22
EMP00033,49,Engineering,Junior,PhD,Chicago IL,11,68872,Needs Improvement,2.7,4.9,0,,24,2,2018-07-31
EMP00034,49,Engineering,Director,Master,Seattle WA,0,167036,Meets Expectations,3.2,3.9,0,,8,5,2013-09-25
EMP00035,42,Operations,Manager,PhD,Boston MA,3,143584,Exceeds Expectations,3.0,3.7,0,,37,4,2016-12-13
EMP00036,48,Marketing,Mid,High School,New York NY,12,87194,Outstanding,1.7,3.3,0,,36,1,2024-09-02
EMP00037,42,Product,VP,High School,New York NY,14,204476,Meets Expectations,1.9,2.9,0,,65,5,2022-06-27
EMP00038,37,Operations,Junior,High School,Seattle WA,9,52361,Outstanding,1.6,1.2,0,,53,5,2019-01-13
EMP00039,46,HR,Director,PhD,San Francisco CA,15,163095,Needs Improvement,3.6,1.0,0,,22,5,2019-12-26
EMP00040,57,Customer Success,Junior,PhD,Chicago IL,7,72798,Exceeds Expectations,1.5,2.9,1,Personal,64,3,2012-04-26
EMP00041,52,Customer Success,Mid,Bachelor,New York NY,14,73493,Outstanding,4.4,2.1,0,,56,0,2016-11-15
